DATE,CPIAUCSL_NBD20190101
2014-07-01,93.97748
2014-08-01,93.96244
2014-09-01,93.96917
2014-10-01,93.95057
2014-11-01,93.77369
2014-12-01,93.48444
2015-01-01,92.88891
2015-02-01,93.12435
2015-03-01,93.37522
2015-04-01,93.47257
2015-05-01,93.78081
2015-06-01,94.04039
2015-07-01,94.18957
2015-08-01,94.18918
2015-09-01,93.97748
2015-10-01,94.07047
2015-11-01,94.18284
2015-12-01,94.08155
2016-01-01,94.03841
2016-02-01,93.91337
2016-03-01,94.20777
2016-04-01,94.56865
2016-05-01,94.79222
2016-06-01,95.05536
2016-07-01,95.00748
2016-08-01,95.18317
2016-09-01,95.43285
2016-10-01,95.65642
2016-11-01,95.76920
2016-12-01,96.01097
2017-01-01,96.39915
2017-02-01,96.55268
2017-03-01,96.50757
2017-04-01,96.62667
2017-05-01,96.55189
2017-06-01,96.61480
2017-07-01,96.64646
2017-08-01,97.01842
2017-09-01,97.51383
2017-10-01,97.58941
2017-11-01,97.84978
2017-12-01,98.05594
2018-01-01,98.47300
2018-02-01,98.73812
2018-03-01,98.75711
2018-04-01,99.01432
2018-05-01,99.23789
2018-06-01,99.32731
2018-07-01,99.40487
2018-08-01,99.58254
2018-09-01,99.78791
2018-10-01,100.02137
2018-11-01,99.95093
2018-12-01,100.01939
2019-01-01,100.00000
2019-02-01,100.23900
2019-03-01,100.58722
2019-04-01,100.98648
2019-05-01,101.01774
2019-06-01,100.96590
2019-07-01,101.17404
2019-08-01,101.32203
2019-09-01,101.50088
2019-10-01,101.79093
2019-11-01,102.01212
2019-12-01,102.33383
2020-01-01,102.50042
2020-02-01,102.58391
2020-03-01,102.13914
2020-04-01,101.33508
2020-05-01,101.24645
2020-06-01,101.68884
2020-07-01,102.20008
2020-08-01,102.64841
2020-09-01,102.89295
2020-10-01,102.99464
2020-11-01,103.20318
2020-12-01,103.68672
2021-01-01,103.93007
2021-02-01,104.32102
2021-03-01,104.82593
2021-04-01,105.52078
2021-05-01,106.22275
2021-06-01,107.05965
2021-07-01,107.53646
2021-08-01,107.97411
2021-09-01,108.43232
2021-10-01,109.41919
2021-11-01,110.28538
2021-12-01,111.14642
2022-01-01,111.82385
2022-02-01,112.61960
2022-03-01,113.75209
2022-04-01,114.20279
2022-05-01,115.25416
2022-06-01,116.62327
2022-07-01,116.58370
2022-08-01,116.85752
2022-09-01,117.33988
2022-10-01,117.91285
2022-11-01,118.15462
2022-12-01,118.30974
2023-01-01,118.92149
2023-02-01,119.36150
2023-03-01,119.42481
2023-04-01,119.86404
2023-05-01,120.01282
